ISIN,Date,start_price,end_price,minimum_price,maximum_price,daily_traded_volume,end_price_mx,standard_deviation
LU1287023185,2022-12-31,181.26,181.795,180.87,181.285,28,3468.6485999999995,0.3783021279348005
LU1287023268,2022-12-30,250.03,250.28,248.55,250.03,4,4775.3423999999995,0.1767766952966369
LU1287023268,2022-12-31,250.03,250.28,248.55,250.03,4,4775.3423999999995,0.1767766952966369
LU1287023342,2022-12-30,144.56,144.69,144.1,144.585,602,2760.6852,0.09192388155424797
LU1287023342,2022-12-31,144.56,144.69,144.1,144.585,602,2760.6852,0.09192388155424797
LU1291091228,2022-12-30,10.262,10.422,10.262,10.336,22314,198.85175999999998,0.1131370849898477
LU1291091228,2022-12-31,10.262,10.422,10.262,10.336,22314,198.85175999999998,0.1131370849898477
LU1291097779,2022-12-30,10.954,10.99,10.954,10.954,10,209.68919999999997,0.02545584412271542
LU1291097779,2022-12-31,10.954,10.99,10.954,10.954,10,209.68919999999997,0.02545584412271542
LU1291098314,2022-12-30,150.28,150.8,150.28,150.28,20,2877.264,0.36769552621701196
LU1291098314,2022-12-31,150.28,150.8,150.28,150.28,20,2877.264,0.36769552621701196
LU1291098827,2022-12-30,11.76,11.876,11.688,11.774,10726,226.59407999999996,0.08202438661763928
LU1291098827,2022-12-31,11.76,11.876,11.688,11.774,10726,226.59407999999996,0.08202438661763928
LU1291099718,2022-12-30,12.688,12.85,12.688,12.71,71,245.17799999999997,0.11455129855222002
LU1291099718,2022-12-31,12.688,12.85,12.688,12.71,71,245.17799999999997,0.11455129855222002
LU1291101555,2022-12-30,279.2,283.55,279.2,279.35,6,5410.134,3.075914498161498
LU1291101555,2022-12-31,279.2,283.55,279.2,279.35,6,5410.134,3.075914498161498
LU1291102447,2022-12-30,12.39,12.42,12.346,12.39,666,236.97359999999998,0.021213203435595972
LU1291102447,2022-12-31,12.39,12.42,12.346,12.39,666,236.97359999999998,0.021213203435595972
LU1291103338,2022-12-30,17.608,17.814,17.608,17.672,619,339.89111999999994,0.14566399692442844
LU1291103338,2022-12-31,17.608,17.814,17.608,17.672,619,339.89111999999994,0.14566399692442844
LU1291104575,2022-12-30,17.878,18.076,17.85,17.878,800,344.89007999999995,0.1400071426749367
LU1291104575,2022-12-31,17.878,18.076,17.85,17.878,800,344.89007999999995,0.1400071426749367
LU1291106356,2022-12-30,12.162,12.182,12.114,12.162,1804,232.43256,0.014142135623730649
LU1291106356,2022-12-31,12.162,12.182,12.114,12.162,1804,232.43256,0.014142135623730649
LU1291108642,2022-12-30,15.73,15.914,15.628,15.74,6858,303.63912,0.13010764773832423
LU1291108642,2022-12-31,15.73,15.914,15.628,15.74,6858,303.63912,0.13010764773832423
LU1291109293,2022-12-30,67.87,68.8,67.87,67.87,0,1312.7039999999997,0.6576093065034839
LU1291109293,2022-12-31,67.87,68.8,67.87,67.87,0,1312.7039999999997,0.6576093065034839
LU1291109616,2022-12-30,14.114,13.962,14.108,14.17,56857,266.39495999999997,0.10748023074035595
LU1291109616,2022-12-31,14.114,13.962,14.108,14.17,56857,266.39495999999997,0.10748023074035595
LU1296758029,2022-12-30,10.98,11.75,10.98,11.29,13306,224.18999999999997,0.5444722215136413
LU1296758029,2022-12-31,10.98,11.75,10.98,11.29,13306,224.18999999999997,0.5444722215136413
LU1310477036,2022-12-30,30.55,30.65,30.55,30.55,0,584.8019999999999,0.07071067811865325
LU1310477036,2022-12-31,30.55,30.65,30.55,30.55,0,584.8019999999999,0.07071067811865325
LU1324516050,2022-12-30,8.878,8.916,8.8482,8.878,8183,170.11728,0.02687005768508899
LU1324516050,2022-12-31,8.878,8.916,8.8482,8.878,8183,170.11728,0.02687005768508899
LU1324516308,2022-12-30,11.4445,11.545,11.3525,11.4445,101,220.27859999999998,0.0710642315092482
LU1324516308,2022-12-31,11.4445,11.545,11.3525,11.4445,101,220.27859999999998,0.0710642315092482
LU1372156916,2022-12-30,95.35,95.75,95.35,95.35,0,1826.9099999999999,0.28284271247462306
LU1372156916,2022-12-31,95.35,95.75,95.35,95.35,0,1826.9099999999999,0.28284271247462306
LU1377381717,2022-12-30,150.72,152.52,150.72,150.72,0,2910.0816,1.2727922061357937
LU1377381717,2022-12-31,150.72,152.52,150.72,150.72,0,2910.0816,1.2727922061357937
LU1377381980,2022-12-30,167.44,168.56,167.44,167.44,0,3216.1247999999996,0.7919595949289364
LU1377381980,2022-12-31,167.44,168.56,167.44,167.44,0,3216.1247999999996,0.7919595949289364
LU1377382012,2022-12-30,134.9,137.14,134.9,135.36,4,2616.6311999999994,1.5839191898578526
LU1377382012,2022-12-31,134.9,137.14,134.9,135.36,4,2616.6311999999994,1.5839191898578526
LU1377382103,2022-12-30,142.0,144.46,142.0,142.0,0,2756.2968,1.7394826817189126
LU1377382103,2022-12-31,142.0,144.46,142.0,142.0,0,2756.2968,1.7394826817189126
LU1377382285,2022-12-30,132.14,134.02,131.6,132.4,610,2557.1016,1.3293607486307262
LU1377382285,2022-12-31,132.14,134.02,131.6,132.4,610,2557.1016,1.3293607486307262
LU1377382368,2022-12-30,209.7,211.95,208.85,209.85,120,4044.0059999999994,1.590990257669732
LU1377382368,2022-12-31,209.7,211.95,208.85,209.85,120,4044.0059999999994,1.590990257669732
LU1390062245,2022-12-30,103.955,104.1,103.955,104.32,361,1986.2279999999996,0.10253048327204659
LU1390062245,2022-12-31,103.955,104.1,103.955,104.32,361,1986.2279999999996,0.10253048327204659
LU1390062831,2022-12-30,103.345,103.285,103.345,103.675,38,1970.6777999999997,0.04242640687119446
LU1390062831,2022-12-31,103.345,103.285,103.345,103.675,38,1970.6777999999997,0.04242640687119446
LU1399300455,2022-12-30,111.295,111.62,111.185,111.38,1289,2129.7095999999997,0.22980970388562996
LU1399300455,2022-12-31,111.295,111.62,111.185,111.38,1289,2129.7095999999997,0.22980970388562996
LU1407888053,2022-12-30,87.324,87.212,87.324,87.324,0,1664.00496,0.07919595949288963
LU1407888053,2022-12-31,87.324,87.212,87.324,87.324,0,1664.00496,0.07919595949288963
LU1407890620,2022-12-30,133.635,133.585,133.34,133.755,418,2548.8017999999997,0.035355339059315316
LU1407890620,2022-12-31,133.635,133.585,133.34,133.755,418,2548.8017999999997,0.035355339059315316
LU1435356149,2022-12-30,87.654,88.234,87.654,87.938,25,1683.5047199999997,0.4101219330881964
LU1435356149,2022-12-31,87.654,88.234,87.654,87.938,25,1683.5047199999997,0.4101219330881964
LU1435356495,2022-12-30,82.56,82.74,82.38,83.068,2,1578.6791999999998,0.12727922061357333
LU1435356495,2022-12-31,82.56,82.74,82.38,83.068,2,1578.6791999999998,0.12727922061357333
LU1437017863,2022-12-30,106.4,107.7,106.3,106.62,1316,2054.9159999999997,0.9192388155425097
LU1437017863,2022-12-31,106.4,107.7,106.3,106.62,1316,2054.9159999999997,0.9192388155425097
LU1437024992,2022-12-30,44.245,44.94,44.01,44.245,24,857.4551999999999,0.4914392129246507
